Info 0    [23:51:12.559] Starting TS Server
Info 1    [23:51:12.560] Version: 4.7.2
Info 2    [23:51:12.560] Arguments: /usr/bin/node /home/zander/everything/projects/mysite-2.0/node_modules/typescript/lib/tsserver.js --logFile /home/zander/everything/projects/mysite-2.0/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/644c603966ba157f36b086e5ef8fe0a6/tscancellation*
Info 3    [23:51:12.560] Platform: linux NodeVersion: 18 CaseSensitive: true
Info 4    [23:51:12.560] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [23:51:12.572] Format host information updated
Info 6    [23:51:12.574] Search path: /home/zander/everything/projects/mysite-2.0/src/components
Info 7    [23:51:12.575] For info: /home/zander/everything/projects/mysite-2.0/src/components/ExperienceSection.js :: No config files found.
Info 8    [23:51:12.579] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 9    [23:51:14.465] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 1885.7050970047712ms
Info 10   [23:51:14.465] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [23:51:14.465] 	Files (167)

Info 12   [23:51:14.465] -----------------------------------------------
Info 13   [23:51:14.480] AutoImportProviderProject: found 6 root files in 6 dependencies in 12.233430996537209 ms
Info 14   [23:51:14.482] Starting updateGraphWorker: Project: /dev/null/autoImportProviderProject1*
Info 15   [23:51:14.577] Finishing updateGraphWorker: Project: /dev/null/autoImportProviderProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 95.54086799919605ms
Info 16   [23:51:14.578] Project '/dev/null/autoImportProviderProject1*' (AutoImportProvider)
Info 17   [23:51:14.578] 	Files (139)

Info 18   [23:51:14.578] -----------------------------------------------
Info 19   [23:51:22.232] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 20   [23:51:22.243] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false structureIsReused:: Completely Elapsed: 10.312095001339912ms
Info 21   [23:51:22.243] Different program with same set of files
Info 22   [23:51:51.445] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 23   [23:51:51.454] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false structureIsReused:: Completely Elapsed: 9.404859006404877ms
Info 24   [23:51:51.454] Different program with same set of files
Info 25   [23:51:57.822] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 26   [23:51:57.829] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false structureIsReused:: Completely Elapsed: 7.268057003617287ms
Info 27   [23:51:57.829] Different program with same set of files
Info 28   [23:51:59.513] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 29   [23:51:59.519] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false structureIsReused:: Completely Elapsed: 5.989758998155594ms
Info 30   [23:51:59.519] Different program with same set of files
Info 31   [23:52:00.005] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 32   [23:52:00.013] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false structureIsReused:: Completely Elapsed: 7.9912810027599335ms
Info 33   [23:52:00.013] Different program with same set of files
Info 34   [23:52:00.132] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 35   [23:52:00.136] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: false structureIsReused:: Completely Elapsed: 4.530106008052826ms
Info 36   [23:52:00.136] Different program with same set of files
Info 37   [23:52:01.267] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 38   [23:52:01.275] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 8 structureChanged: false structureIsReused:: Completely Elapsed: 7.42399699985981ms
Info 39   [23:52:01.275] Different program with same set of files
Info 40   [23:52:02.914] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 41   [23:52:02.921] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 9 structureChanged: false structureIsReused:: Completely Elapsed: 7.220687001943588ms
Info 42   [23:52:02.922] Different program with same set of files
Info 43   [23:52:05.744] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 44   [23:52:05.748] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 10 structureChanged: false structureIsReused:: Completely Elapsed: 4.6275399923324585ms
Info 45   [23:52:05.748] Different program with same set of files
Info 46   [23:52:05.751] getCompletionData: Get current token: 0.03073599934577942
